text,audio,speaker,normalized_text,output_checkpoint-483,output_checkpoint-69,output_checkpoint-966,output_checkpoint-759,output_checkpoint-1104,output_checkpoint-552,output_checkpoint-690,output_checkpoint-1932,output_checkpoint-1449,output_checkpoint-1794,output_checkpoint-138,output_checkpoint-207,output_checkpoint-2001,output_checkpoint-1863,output_checkpoint-1725,output_checkpoint-345,output_checkpoint-828,output_checkpoint-1173,output_checkpoint-414,output_checkpoint-1311,output_checkpoint-276,output_checkpoint-2070,output_checkpoint-1587,output_checkpoint-1518,output_checkpoint-1380,output_checkpoint-621,output_checkpoint-1656,output_checkpoint-1035,output_checkpoint-1242,output_checkpoint-897,openai_whisper-large-v3
Vaš je planet jako lip. Su na njin oceani?,data/test/MP_15_109.42-112.63.mp3,Mići Princ,Vaš je planet jako lip. Su na njin oceani?, Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lip. Su na njin oceani., Vaš je planet jako lijep. Su na njim oceani.
E to ti ja ne moren znat.,data/test/MP_15_113.16-115.12.mp3,Geograf,E to ti ja ne moren znat., to ti ja ne morem znat., to ti jane moreš načiniti., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti jast ne moreš znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne morem znat., to ti ja ne moram znat
"Ah, a planine?",data/test/MP_15_115.42-116.96.mp3,Mići Princ,"Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ah, a planine?"," Ach, a planine?"
Ni to ti ne moren znat.,data/test/MP_15_117.4-119.45.mp3,Geograf,Ni to ti ne moren znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat., Ni to ti ne moreš znat.
"A gradi, rike ili pustinje?",data/test/MP_15_119.6-121.71.mp3,Mići Princ,"A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"," A gradi, rike ili pustinje?"
"Ne, ni to ti ne moren znat.",data/test/MP_15_121.78-124.31.mp3,Geograf,"Ne, ni to ti ne moren znat."," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat."," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, nito ti ne moreš znat."," Ne, ni to ti ne moreš znat."," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, ni to ti ne moreš znat!"," Ne, nito ti ne more znati."
Ma vi ste geograf!,data/test/MP_15_124.47-125.38.mp3,Mići Princ,Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf?, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf?, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf!, Ma vi ste geograf?
"Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. Un je duron va svojoj sobi na poslu. Ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, unda geograf naredi da se ispita i poštenje istraživača.",data/test/MP_15_125.41-168.8.mp3,Geograf,"Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. Un je duron va svojoj sobi na poslu. Ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, unda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, velioceani i pustinje. Geograf je jako važan da bi samo tako okolotekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispitjuje i zapisuje njihove uspomene, pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. Un je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. Un je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. I lutal. Un je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. I lutal. Un je duron va svojoj sobi na poslu. Ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisan ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, veli oceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duron va svojoj sobi na poslu, ma zato un rado dočekuje sve istraživače. Un ih ispićuje i zapisuje njihove uspomene. Pa ako mu se od toga ča to učini važnin, onda geograf naredi da se ispita i poštenje istraživača."," Je, to je istina, ali nisam ja istraživač. I meni istraživači jako falu. Geograf neće brojit gradi, rike, planine, mora, velioceani i pustinje. Geograf je jako važan da bi samo tako okolo tekal i lutal. On je duran u svojoj sobi na poslu. Ma zato on rado dočekuje sve istraživače. On ih ispitjuje i zapisuje njihove uspomene. Pa ako mu se od toga čato učini važnin, onda geograf naredi da se ispita i poštenje istraživača."
Zača to?,data/test/MP_15_169.31-169.95.mp3,Mići Princ,Zača to?, Zača tu?, Začet tu!, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Začet tu!, Začetu!, Zača tu?, Zača tu?, Zača tu?, Začet tu!, Zača tu?, Zača tu?, Zača to?, Zača tu?, Začet to!, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zača tu?, Zatša to.
"Zato, boj bi istraživač ki laže učinil veli konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo priko mere i popije.",data/test/MP_15_170.38-184.96.mp3,Geograf,"Zato, boj bi istraživač ki laže učinil veli konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo priko mere i popije.", Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživački laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomere i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo priko mene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfuzijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato boj bi istraživač ki laže učinil velik konfužijun va knjigamin od geografije. To se na isti mod more reć i za istraživača ki malo prikomene i popije., Zato bojbi istraživački laže učinil velik konfužijun ba knjigamin od geografije. To se na isti mod more reći i za istraživača ki malo prikomere i popije.
